AffiliateActivity	27
AffiliatePayoutRequest	0
AffiliateProfile	49
AffiliateReferral	19
ChannelBroadcast	50
PartnerBot	11
TelegramBotSettings	1
TelegramReferralIntent	22
User	51
UserSession	186
VipPaymentOrder	5
VipPlan	4
VipProgramSettings	1
